tegund,argerd,aflgjafi,akstur,skipting,verd,aldur
CHEVROLET LACETTI SPORT,2005-11-01,Bensín,125000,Beinskipting,299000,13.67123287671233
CITROEN C5,2006-01-01,Bensín,218000,Sjálfskipting,299000,13.504109589041096
CITROEN C3,2004-03-01,Bensín,140000,Beinskipting,299000,15.342465753424657
HYUNDAI I10,2010-10-01,Bensín,117000,Beinskipting,299000,8.753424657534246
HYUNDAI SANTA FE,2003-09-01,Bensín,243000,Sjálfskipting,299000,15.841095890410958
SKODA OCTAVIA,2003-08-01,Bensín,195000,Sjálfskipting,299000,15.926027397260274
VW BORA,2005-03-01,Bensín,171000,Beinskipting,299000,14.342465753424657
VW POLO,2004-06-01,Bensín,240000,Beinskipting,299000,15.09041095890411
TOYOTA AVENSIS S/D TERRA,2002-10-01,Bensín,262000,Sjálfskipting,300000,16.75890410958904
VW GOLF HIGHLINE,2002-12-01,Bensín,137000,Beinskipting,300000,16.59178082191781
FORD ESCAPE XLS 4DR,2006-04-01,Bensín,242000,Sjálfskipting,320000,13.257534246575343
SKODA FABIA,2003-11-01,Bensín,189000,Beinskipting,320000,15.673972602739726
TOYOTA COROLLA,2003-05-01,Bensín,220000,Sjálfskipting,320000,16.17808219178082
VW CADDY,2005-05-01,Bensín,220000,Beinskipting,320000,14.175342465753424
HYUNDAI SANTA FE V6,2003-07-01,Bensín,195000,Sjálfskipting,330000,16.01095890410959
HYUNDAI SANTA FE,2003-07-01,Bensín,197000,Sjálfskipting,330000,16.01095890410959
HYUNDAI SANTA FE,2003-07-01,Bensín,190000,Sjálfskipting,330000,16.01095890410959
HYUNDAI SANTA FE,2003-07-01,Bensín,197000,Sjálfskipting,330000,16.01095890410959
SKODA FABIA,2007-11-01,Dísel,195000,Beinskipting,330000,11.67123287671233
TOYOTA PREVIA,2002-05-01,Bensín,230000,Sjálfskipting,330000,17.17808219178082
VW POLO,2006-06-01,Bensín,171000,Beinskipting,330000,13.09041095890411
NISSAN ALMERA COMFORT,2001-10-01,Bensín,149000,Beinskipting,339000,17.75890410958904
SKODA OCTAVIA,2004-06-01,Bensín,270000,Beinskipting,340000,15.09041095890411
NISSAN X-TRAIL,2002-08-01,Bensín,233000,Sjálfskipting,349000,16.926027397260274
SUZUKI SWIFT,2009-06-01,Bensín,168000,Beinskipting,349000,10.087671232876712
CHEVROLET KALOS,2005-12-01,Bensín,128000,Sjálfskipting,350000,13.58904109589041
"FORD ESCAPE 3,0 XLT CHOICE",2006-03-01,Bensín,135000,Sjálfskipting,350000,13.342465753424657
FORD FOCUS C-MAX,2006-01-01,Bensín,151000,Sjálfskipting,350000,13.504109589041096
FORD FIESTA,2006-10-01,Bensín,159000,Beinskipting,350000,12.756164383561643
HYUNDAI SANTA FE,2002-10-01,Bensín,220000,Sjálfskipting,350000,16.75890410958904
HYUNDAI GETZ,2004-04-01,Bensín,176000,Beinskipting,350000,15.257534246575343
HYUNDAI GETZ,2007-05-01,Bensín,148000,Beinskipting,350000,12.175342465753424
RENAULT MEGANE,2005-01-01,Bensín,156000,Sjálfskipting,350000,14.504109589041096
RENAULT MEGANE,2007-04-01,Bensín,150000,Sjálfskipting,350000,12.257534246575343
SKODA OCTAVIA,2005-07-01,Bensín,261000,Beinskipting,350000,14.008219178082191
SKODA OCTAVIA,2006-09-01,Dísel,305000,Sjálfskipting,350000,12.838356164383562
SUBARU IMPREZA,2003-03-01,Bensín,140000,Sjálfskipting,350000,16.345205479452055
SUZUKI GRAND VITARA,2000-04-01,Bensín,217000,Sjálfskipting,350000,19.26027397260274
TOYOTA RAV4,2000-12-01,Bensín,242000,Sjálfskipting,350000,18.59178082191781
TOYOTA YARIS,2006-06-01,Bensín,187000,Beinskipting,350000,13.09041095890411
TOYOTA AVENSIS,2003-07-01,Bensín,232000,Sjálfskipting,350000,16.01095890410959
TOYOTA COROLLA VERSO,2003-02-01,Bensín,192000,Sjálfskipting,350000,16.421917808219177
TOYOTA LAND CRUISER 90,1998-04-01,Dísel,413000,Sjálfskipting,350000,21.263013698630136
TOYOTA COROLLA,2003-06-01,Bensín,205000,Beinskipting,350000,16.09315068493151
VOLVO S60,2001-01-01,Bensín,255000,Sjálfskipting,350000,18.506849315068493
VOLVO S60,2002-10-01,Bensín,255000,Sjálfskipting,350000,16.75890410958904
VW GOLF,2002-05-01,Bensín,243000,Beinskipting,350000,17.17808219178082
FORD EXPLORER XLT LEÐUR,2005-04-01,Bensín,213000,Sjálfskipting,360000,14.257534246575343
LEXUS RX 300,2000-10-01,Bensín,237000,Sjálfskipting,370000,18.75890410958904
TOYOTA PREVIA,2002-05-01,Bensín,228000,Sjálfskipting,370000,17.17808219178082
TOYOTA YARIS,2005-06-01,Bensín,181000,Beinskipting,375000,14.09041095890411
FORD ESCAPE XLT CHOICE,2004-06-01,Bensín,217000,Sjálfskipting,380000,15.09041095890411
FORD FREESTAR S,2005-01-01,Bensín,250000,Sjálfskipting,380000,14.504109589041096
HYUNDAI I10,2010-10-01,Bensín,117000,Beinskipting,380000,8.753424657534246
MAZDA E2200 PICKUP,2001-06-01,Dísel,188000,Beinskipting,380000,18.09315068493151
MITSUBISHI GRANDIS,2005-02-01,Bensín,196000,Sjálfskipting,380000,14.419178082191781
MITSUBISHI OUTLANDER,2003-08-01,Bensín,209000,Beinskipting,380000,15.926027397260274
RENAULT MEGANE,2006-05-01,Bensín,155000,Sjálfskipting,380000,13.175342465753424
SUZUKI SIDEKICK,1995-06-01,Bensín,295000,Beinskipting,380000,24.0986301369863
VW BEETLE,2000-11-01,Bensín,139000,Beinskipting,380000,18.673972602739727
TOYOTA AVENSIS STW,2005-02-01,Bensín,310000,Sjálfskipting,385000,14.419178082191781
HYUNDAI GETZ GLS,2007-05-01,Bensín,214000,Sjálfskipting,389000,12.175342465753424
AUDI A6 ALLROAD,2004-01-01,Bensín,222000,Sjálfskipting,390000,15.506849315068493
BMW 320D,2002-09-01,Dísel,224000,Sjálfskipting,390000,16.84109589041096
CHEVROLET KALOS,2008-05-01,Bensín/Metan,163000,Beinskipting,390000,11.172602739726027
CHEVROLET SPARK,2010-07-01,Bensín,148000,Beinskipting,390000,9.005479452054795
CHEVROLET SPARK,2012-04-01,Bensín,128000,Beinskipting,390000,7.252054794520548
CHEVROLET AVEO,2009-07-01,Bensín,92000,Beinskipting,390000,10.005479452054795
CHEVROLET LACETTI,2011-01-01,Bensín,114000,Beinskipting,390000,8.501369863013698
CHEVROLET AVEO,2006-10-01,Bensín,150000,Sjálfskipting,390000,12.756164383561643
CHEVROLET AVEO,2009-07-01,Bensín,176000,Beinskipting,390000,10.005479452054795
CHEVROLET LACETTI,2006-03-01,Bensín,124000,Sjálfskipting,390000,13.342465753424657
CITROEN C4,2006-07-01,Bensín,127000,Sjálfskipting,390000,13.008219178082191
FORD ESCAPE XLT CHOICE,2005-01-01,Bensín,209000,Sjálfskipting,390000,14.504109589041096
FORD ESCAPE XLS 4DR,2005-06-01,Bensín,170000,Sjálfskipting,390000,14.09041095890411
FORD ESCAPE LIMITED 4DR,2004-01-01,Bensín,210000,Sjálfskipting,390000,15.506849315068493
FORD MONDEO LEÐUR LÚGA,2006-01-01,Bensín,164000,Sjálfskipting,390000,13.504109589041096
FORD ESCAPE XLT CHOICE,2005-01-01,Bensín,209000,Sjálfskipting,390000,14.504109589041096
FORD EXPLORER EXECUTIVE,1997-03-01,Bensín,201000,Sjálfskipting,390000,22.34794520547945
FORD FOCUS,2003-12-01,Bensín,127000,Beinskipting,390000,15.591780821917808
HONDA CR-V,2005-05-01,Bensín,238000,Sjálfskipting,390000,14.175342465753424
HONDA CR-V,1999-03-01,Bensín,257000,Sjálfskipting,390000,20.34794520547945
HONDA HR-V,2004-09-01,Bensín,197000,Sjálfskipting,390000,14.838356164383562
HONDA HR-V,2004-02-01,Bensín,174000,Sjálfskipting,390000,15.421917808219177
HONDA CR-V,1998-11-01,Bensín,294000,Sjálfskipting,390000,20.676712328767124
HYUNDAI SANTA FE,2004-11-01,Bensín,146000,Sjálfskipting,390000,14.67123287671233
HYUNDAI SANTA FE,2005-08-01,Bensín,248000,Sjálfskipting,390000,13.923287671232877
HYUNDAI TUCSON,2007-10-01,Bensín,187000,Sjálfskipting,390000,11.756164383561643
HYUNDAI TRAJET,2007-08-01,Bensín,179000,Sjálfskipting,390000,11.923287671232877
HYUNDAI I10,2012-03-01,Bensín,134000,Beinskipting,390000,7.336986301369863
HYUNDAI TRAJET,2007-08-01,Bensín,179000,Sjálfskipting,390000,11.923287671232877
HYUNDAI SANTA FE,2003-07-01,Bensín,197000,Sjálfskipting,390000,16.01095890410959
HYUNDAI SANTA FE,2002-02-01,Bensín,189000,Sjálfskipting,390000,17.421917808219177
HYUNDAI SANTA FE,2002-05-01,Bensín,183000,Sjálfskipting,390000,17.17808219178082
HYUNDAI SANTA FE,2005-04-01,Dísel,286000,Sjálfskipting,390000,14.257534246575343
HYUNDAI SANTA FE,2005-06-01,Bensín,168000,Sjálfskipting,390000,14.09041095890411
JEEP GRAND CHEROKEE LIMITED,2001-01-01,Bensín,339000,Sjálfskipting,390000,18.506849315068493
KIA SORENTO,2002-10-01,Dísel,305000,Sjálfskipting,390000,16.75890410958904
LAND ROVER FREELANDER,2000-09-01,Bensín,134000,Beinskipting,390000,18.84109589041096
LEXUS RX 300,2001-02-01,Bensín,301000,Sjálfskipting,390000,18.421917808219177
MERCEDES-BENZ E 320 4MATIC,1999-09-01,Bensín,266000,Sjálfskipting,390000,19.843835616438355
MAZDA 6,2006-04-01,Bensín,198000,Sjálfskipting,390000,13.257534246575343
MITSUBISHI OUTLANDER,2004-03-01,Bensín,187000,Beinskipting,390000,15.342465753424657
OPEL ASTRA,2007-05-01,Bensín,162000,Beinskipting,390000,12.175342465753424
PEUGEOT 307,2004-07-01,Bensín,154000,Beinskipting,390000,15.008219178082191
PEUGEOT 307,2005-09-01,Bensín,140000,Sjálfskipting,390000,13.838356164383562
RENAULT CLIO,2004-06-01,Bensín,37000,Beinskipting,390000,15.09041095890411
SAAB 9-5,2007-09-01,Bensín,152000,Sjálfskipting,390000,11.838356164383562
SKODA OCTAVIA LIMO,2005-06-01,Bensín,128000,Beinskipting,390000,14.09041095890411
SKODA OCTAVIA,2004-01-01,Bensín,238000,Beinskipting,390000,15.506849315068493
SKODA FABIA,2008-08-01,Bensín,194000,Beinskipting,390000,10.92054794520548
SKODA OCTAVIA TURBO,2004-01-01,Bensín,230000,Beinskipting,390000,15.506849315068493
SKODA OCTAVIA COMBI TDI 100 HÖ,2005-01-01,Dísel,311000,Beinskipting,390000,14.504109589041096
SKODA FABIA,2007-10-01,Bensín,229000,Beinskipting,390000,11.756164383561643
SKODA OCTAVIA AMBIENTE COMBI,2004-08-01,Bensín,190000,Sjálfskipting,390000,14.923287671232877
SUZUKI GRAND VITARA V6,2003-06-01,Bensín,203000,Sjálfskipting,390000,16.09315068493151
SUZUKI GRAND VITARA,2004-06-01,Bensín,226000,Beinskipting,390000,15.09041095890411
SUZUKI LIANA,2006-11-01,Bensín,172000,Beinskipting,390000,12.67123287671233
SUZUKI LIANA,2004-11-01,Bensín,158000,Beinskipting,390000,14.67123287671233
TOYOTA COROLLA VERSO LUNA 7 SÆTA MM,2006-02-01,Bensín,173000,Sjálfskipting,390000,13.419178082191781
TOYOTA AVENSIS,2004-07-01,Bensín,260000,Beinskipting,390000,15.008219178082191
TOYOTA AVENSIS,2006-06-01,Bensín,193000,Sjálfskipting,390000,13.09041095890411
TOYOTA COROLLA VERSO,2006-09-01,Bensín,240000,Beinskipting,390000,12.838356164383562
TOYOTA COROLLA,2001-06-01,Bensín,147000,Sjálfskipting,390000,18.09315068493151
TOYOTA COROLLA STW,2005-05-01,Bensín,245000,Beinskipting,390000,14.175342465753424
TOYOTA COROLLA,2006-05-01,Bensín,212000,Beinskipting,390000,13.175342465753424
TOYOTA AVENSIS,2006-03-01,Bensín,164000,Beinskipting,390000,13.342465753424657
TOYOTA YARIS,2005-08-01,Bensín,238000,Sjálfskipting,390000,13.923287671232877
TOYOTA AURIS TERRA,2007-08-01,Bensín,226000,Beinskipting,390000,11.923287671232877
TOYOTA COROLLA SEDAN,2006-05-01,Bensín,229000,Beinskipting,390000,13.175342465753424
TOYOTA RAV4,1998-07-01,Bensín,137000,Beinskipting,390000,21.013698630136986
TOYOTA COROLLA VERSO,2004-10-01,Bensín,239000,Sjálfskipting,390000,14.756164383561643
TOYOTA RAV4,2002-09-01,Bensín,240000,Sjálfskipting,390000,16.84109589041096
TOYOTA COROLLA,2005-05-01,Bensín,236000,Beinskipting,390000,14.175342465753424
TOYOTA YARIS,2006-07-01,Bensín,245000,Beinskipting,390000,13.008219178082191
TOYOTA RAV4,2005-03-01,Bensín,372000,Beinskipting,390000,14.342465753424657
TOYOTA COROLLA L/B TERRA,1998-06-01,Bensín,240000,Beinskipting,390000,21.095890410958905
VW GOLF TRENDLINE,2006-04-01,Bensín,168000,Beinskipting,390000,13.257534246575343
VW CADDY KÆLIBÍLL,2007-05-01,Dísel,243000,Beinskipting,390000,12.175342465753424
VW TRANSPORTER PANEL VAN,2001-03-01,Bensín,287000,Beinskipting,390000,18.345205479452055
VW POLO COMFORTLINE,2007-10-01,Bensín,128000,Beinskipting,390000,11.756164383561643
VW POLO,2006-04-01,Bensín,161000,Beinskipting,390000,13.257534246575343
VW POLO 1.4,2006-09-01,Bensín,165000,Beinskipting,390000,12.838356164383562
VW PASSAT,2003-01-01,Bensín,174000,Beinskipting,390000,16.506849315068493
VW CADDY,2005-11-01,Bensín,227000,Beinskipting,390000,13.67123287671233
HYUNDAI GETZ,2008-05-01,Bensín,184000,Beinskipting,395000,11.172602739726027
CHEVROLET KALOS,2007-07-01,Bensín,120000,Beinskipting,399000,12.008219178082191
HONDA CR-V PREMIUM+,2004-09-01,Bensín,285000,Sjálfskipting,399000,14.838356164383562
HYUNDAI I10,2012-06-01,Bensín,156000,Beinskipting,399000,7.0849315068493155
HYUNDAI TUCSON,2005-04-01,Bensín,280000,Beinskipting,399000,14.257534246575343
HYUNDAI GETZ GLS,2008-06-01,Bensín,153000,Beinskipting,399000,11.087671232876712
MERCEDES-BENZ C 200 KOMPRESSOR,2005-06-01,Bensín,200000,Sjálfskipting,399000,14.09041095890411
MITSUBISHI PAJERO,2005-11-01,Bensín,259000,Sjálfskipting,399000,13.67123287671233
NISSAN X-TRAIL,2005-02-01,Bensín,195000,Sjálfskipting,399000,14.419178082191781
SKODA OCTAVIA,2006-04-01,Dísel,208000,Sjálfskipting,399000,13.257534246575343
TOYOTA RAV4,2004-08-01,Dísel,277000,Beinskipting,399000,14.923287671232877
TOYOTA AVENSIS,2006-03-01,Bensín,157000,Sjálfskipting,399000,13.342465753424657
TOYOTA COROLLA STW,2005-01-01,Bensín,218000,Beinskipting,399000,14.504109589041096
TOYOTA RAV4,2003-08-01,Bensín,300000,Sjálfskipting,399000,15.926027397260274
SUBARU IMPREZA,2004-07-01,Bensín,179000,Sjálfskipting,400000,15.008219178082191
FORD ESCAPE XLS AWD,2004-04-01,Bensín,204000,Sjálfskipting,420000,15.257534246575343
MITSUBISHI PAJERO,2005-11-01,Bensín,210000,Sjálfskipting,420000,13.67123287671233
SUZUKI LIANA,2004-11-01,Bensín,158000,Beinskipting,420000,14.67123287671233
HYUNDAI TRAJET,2007-07-01,Bensín,218000,Sjálfskipting,430000,12.008219178082191
SUBARU FORESTER LUXURY,2007-08-01,Bensín,215000,Sjálfskipting,430000,11.923287671232877
VW TOURAN,2004-04-01,Dísel,240000,Sjálfskipting,430000,15.257534246575343
NISSAN NOTE,2011-05-01,Bensín,178000,Beinskipting,440000,8.172602739726027
PEUGEOT 407 SW 2.0 HDI,2007-04-01,Dísel,208000,Sjálfskipting,440000,12.257534246575343
SKODA OCTAVIA,2005-04-01,Bensín,220000,Beinskipting,440000,14.257534246575343
SUBARU LEGACY,2003-09-01,Bensín,190000,Sjálfskipting,440000,15.841095890410958
TOYOTA YARIS SOL,2006-06-01,Bensín,193000,Beinskipting,440000,13.09041095890411
VOLVO S40 2.0 SE,2004-05-01,Bensín,200000,Sjálfskipting,440000,15.175342465753424
VOLVO S40,2004-05-01,Bensín,200000,Sjálfskipting,440000,15.175342465753424
CHEVROLET SPARK,2010-06-01,Bensín,108000,Beinskipting,450000,9.087671232876712
CHEVROLET AVEO,2012-05-01,Bensín,146000,Beinskipting,450000,7.16986301369863
CHEVROLET AVEO,2010-06-01,Bensín,57000,Beinskipting,450000,9.087671232876712
CHEVROLET SPARK,2010-07-01,Bensín,132000,Beinskipting,450000,9.005479452054795
CHEVROLET SPARK M300,2011-05-01,Bensín,134000,Beinskipting,450000,8.172602739726027
CHEVROLET LACETTI,2005-11-01,Bensín,74000,Beinskipting,450000,13.67123287671233
FORD FOCUS,2005-04-01,Bensín,155000,Sjálfskipting,450000,14.257534246575343
FORD FOCUS,2010-06-01,Bensín,197000,Beinskipting,450000,9.087671232876712
FORD FOCUS C-MAX,2008-01-01,Bensín,205000,Beinskipting,450000,11.504109589041096
FORD KA,2008-02-01,Bensín,79000,Beinskipting,450000,11.419178082191781
HONDA CR-V EXE,1999-03-01,Bensín,257000,Sjálfskipting,450000,20.34794520547945
HONDA HR-V,1999-07-01,Bensín,213000,Beinskipting,450000,20.013698630136986
HYUNDAI TUCSON,2005-04-01,Bensín,162000,Beinskipting,450000,14.257534246575343
HYUNDAI SANTA FE,2005-02-01,Dísel,223000,Sjálfskipting,450000,14.419178082191781
HYUNDAI TUCSON,2007-06-01,Bensín,323000,Beinskipting,450000,12.09041095890411
HYUNDAI TUCSON,2007-10-01,Bensín,315000,Beinskipting,450000,11.756164383561643
MAZDA 3,2006-01-01,Bensín,89000,Sjálfskipting,450000,13.504109589041096
MAZDA 3,2007-07-01,Bensín,216000,Beinskipting,450000,12.008219178082191
NISSAN MICRA,2011-08-01,Bensín,107000,Beinskipting,450000,7.920547945205479
NISSAN TERRANO,2003-06-01,Dísel,282000,Sjálfskipting,450000,16.09315068493151
OPEL VECTRA STATION WAGON,2005-11-01,Dísel,169000,Sjálfskipting,450000,13.67123287671233
RENAULT MEGANE,2007-10-01,Bensín,150000,Sjálfskipting,450000,11.756164383561643
SKODA OCTAVIA,2006-06-01,Bensín,110000,Sjálfskipting,450000,13.09041095890411
SKODA FABIA,2011-06-01,Bensín,132000,Beinskipting,450000,8.087671232876712
SKODA OCTAVIA AMBIENTE COMBI,2005-04-01,Bensín,305000,Beinskipting,450000,14.257534246575343
SKODA OCTAVIA AMBIENTE,2006-01-01,Bensín,325000,Beinskipting,450000,13.504109589041096
SUZUKI JIMNY,2008-06-01,Bensín,200000,Beinskipting,450000,11.087671232876712
SUZUKI JIMNY,2006-05-01,Bensín,230000,Beinskipting,450000,13.175342465753424
SUZUKI LIANA,2006-11-01,Bensín,172000,Beinskipting,450000,12.67123287671233
TOYOTA COROLLA S/D TERRA,2005-05-01,Bensín,139000,Beinskipting,450000,14.175342465753424
TOYOTA LAND CRUISER 90 VX,2000-01-01,Dísel,299000,Sjálfskipting,450000,19.50958904109589
TOYOTA YARIS,2006-05-01,Bensín,157000,Beinskipting,450000,13.175342465753424
TOYOTA AYGO,2006-07-01,Bensín,158000,Beinskipting,450000,13.008219178082191
TOYOTA RAV4,2002-03-01,Bensín,222000,Beinskipting,450000,17.345205479452055
TOYOTA YARIS,2005-06-01,Bensín,177000,Beinskipting,450000,14.09041095890411
VOLVO S60,2001-07-01,Bensín,220000,Sjálfskipting,450000,18.01095890410959
VW GOLF,2003-07-01,Bensín,178000,Beinskipting,450000,16.01095890410959
VW CADDY,2007-11-01,Bensín,201000,Beinskipting,450000,11.67123287671233
VW GOLF,2006-06-01,Bensín,143000,Beinskipting,450000,13.09041095890411
VW GOLF,2006-12-01,Bensín,154000,Beinskipting,450000,12.58904109589041
VW PASSAT,2007-09-01,Dísel,287000,Beinskipting,450000,11.838356164383562
VW GOLF,2004-06-01,Bensín,232000,Beinskipting,450000,15.09041095890411
VW POLO,2005-06-01,Bensín,150000,Sjálfskipting,450000,14.09041095890411
GALLOPER JK T01,1998-05-01,Dísel,123000,Sjálfskipting,460000,21.18082191780822
MITSUBISHI PAJERO,2000-03-01,Bensín,246000,Sjálfskipting,460000,19.345205479452055
SUBARU FORESTER,2007-05-01,Bensín,218000,Sjálfskipting,460000,12.175342465753424
TOYOTA AVENSIS,2004-10-01,Bensín,215000,Sjálfskipting,460000,14.756164383561643
AUDI A6 AWD,2001-03-01,Bensín,250000,Sjálfskipting,470000,18.345205479452055
HYUNDAI I10 SELDUR,2012-03-01,Bensín,191000,Beinskipting,470000,7.336986301369863
HYUNDAI I10,2010-11-01,Bensín,159000,Beinskipting,470000,8.668493150684931
RENAULT CLIO,2006-06-01,Bensín,154000,Sjálfskipting,470000,13.09041095890411
SKODA OCTAVIA,2005-03-01,Bensín,210000,Beinskipting,470000,14.342465753424657
TOYOTA YARIS TERRA,2006-06-01,Bensín,165000,Beinskipting,470000,13.09041095890411
PEUGEOT 407,2005-08-01,Bensín,120000,Sjálfskipting,475000,13.923287671232877
BMW 318 IA,2003-10-01,Bensín,179000,Beinskipting,480000,15.758904109589041
CHEVROLET SPARK LS,2011-11-01,Bensín,81000,Beinskipting,480000,7.668493150684932
FORD FIESTA,2006-01-01,Bensín,96000,Beinskipting,480000,13.504109589041096
HYUNDAI SONATA,2007-05-01,Dísel,284000,Sjálfskipting,480000,12.175342465753424
